epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.527,2.10112,1.43603,1.1686,0.60686,0.48845,0.45419,0.1978,2.06837,2.3134,1.30935,0.00332524,0.00332524,0.0700728
2,410.392,2.03445,1.3275,1.14596,0.73258,0.57356,0.59827,0.29058,1.83488,1.228,1.17866,0.00659266,0.00659266,0.0400069
3,611.446,1.97863,1.27656,1.12794,0.72759,0.56437,0.58509,0.28522,1.85201,1.40538,1.19347,0.00979407,0.00979407,0.00987498
4,809.896,1.92243,1.23158,1.11316,0.75687,0.60894,0.63606,0.33523,1.68832,1.08407,1.13834,0.009703,0.009703,0.009703
5,1010.01,1.89899,1.20457,1.10143,0.72544,0.57307,0.58758,0.28532,1.79077,1.24987,1.14143,0.009604,0.009604,0.009604
6,1209.55,1.85457,1.15408,1.08395,0.75199,0.58155,0.61315,0.30714,1.79624,1.28119,1.16208,0.009505,0.009505,0.009505
7,1410.36,1.82432,1.1362,1.08193,0.74916,0.60392,0.63342,0.32312,1.68055,1.09284,1.10721,0.009406,0.009406,0.009406
8,1608.86,1.81756,1.12774,1.07295,0.7552,0.6099,0.63775,0.33157,1.6892,1.09638,1.1289,0.009307,0.009307,0.009307
9,1807.45,1.80084,1.11932,1.07037,0.77856,0.6265,0.6646,0.36089,1.57496,1.00956,1.09554,0.009208,0.009208,0.009208
10,2006.56,1.77855,1.09688,1.06505,0.78827,0.62926,0.6729,0.36824,1.57618,0.99327,1.09763,0.009109,0.009109,0.009109
11,2205.73,1.7698,1.08583,1.06029,0.78726,0.63553,0.68188,0.37834,1.51884,0.9679,1.07211,0.00901,0.00901,0.00901
12,2404.64,1.7636,1.085,1.05794,0.78039,0.64171,0.68077,0.3772,1.54431,0.97274,1.07559,0.008911,0.008911,0.008911
13,2603.32,1.75129,1.07233,1.05522,0.79501,0.65059,0.69311,0.38871,1.50546,0.93545,1.06104,0.008812,0.008812,0.008812
14,2801.93,1.74377,1.06254,1.05287,0.79314,0.64977,0.69242,0.38936,1.49883,0.93415,1.06561,0.008713,0.008713,0.008713
15,3000.91,1.72019,1.04595,1.04631,0.79934,0.64777,0.68879,0.37807,1.55235,0.97021,1.07491,0.008614,0.008614,0.008614
16,3200.13,1.72276,1.0513,1.04809,0.79378,0.64804,0.68945,0.37695,1.5468,0.96387,1.0768,0.008515,0.008515,0.008515
17,3398.95,1.70462,1.03162,1.0432,0.79724,0.66293,0.70326,0.40043,1.46518,0.89115,1.0528,0.008416,0.008416,0.008416
18,3598.13,1.71282,1.04271,1.04486,0.80628,0.66625,0.70891,0.40415,1.46427,0.87991,1.05018,0.008317,0.008317,0.008317
19,3797.61,1.68902,1.01761,1.03789,0.80619,0.67065,0.71263,0.40934,1.44142,0.89307,1.04435,0.008218,0.008218,0.008218
20,3996.22,1.70536,1.03104,1.04022,0.81138,0.66671,0.71148,0.3993,1.48802,0.90293,1.05337,0.008119,0.008119,0.008119
21,4195.06,1.68611,1.01485,1.03366,0.80827,0.67027,0.71397,0.40966,1.44515,0.88863,1.04508,0.00802,0.00802,0.00802
22,4393.98,1.68768,1.01907,1.03494,0.80785,0.66997,0.7129,0.40217,1.49572,0.88267,1.05238,0.007921,0.007921,0.007921
23,4593.02,1.68241,1.00669,1.02883,0.80896,0.67489,0.71623,0.41279,1.43394,0.872,1.04294,0.007822,0.007822,0.007822
24,4791.14,1.66135,0.99835,1.02797,0.81609,0.67819,0.72492,0.42235,1.40916,0.83915,1.02945,0.007723,0.007723,0.007723
25,4990.36,1.66838,0.99872,1.02767,0.79986,0.67263,0.71436,0.41062,1.43072,0.85709,1.03907,0.007624,0.007624,0.007624
26,5189.69,1.65922,0.99064,1.02649,0.81797,0.6827,0.72737,0.41977,1.42138,0.84241,1.03093,0.007525,0.007525,0.007525
27,5388.19,1.65278,0.98531,1.02408,0.81534,0.68451,0.72815,0.42573,1.39784,0.8303,1.02457,0.007426,0.007426,0.007426
28,5587.26,1.63109,0.96716,1.01614,0.81386,0.68612,0.72952,0.42633,1.38938,0.82382,1.02515,0.007327,0.007327,0.007327
29,5785.5,1.64409,0.97553,1.01846,0.82018,0.68261,0.72966,0.42861,1.38465,0.81901,1.02218,0.007228,0.007228,0.007228
